1	继续保持下去，不能放松警惕啊[赞][太开心][太开心]！
1	"学医第六年，抗住[苦涩]"""""
1	郑州加油[求饶]
0	大学什么时候解封
2	广东是舞狮[允悲]
1	[中国赞][中国赞][中国赞]
1	熊猫滚滚，哎呀太阔爱了
1	[赞][赞]
2	路还封着呢nmd
0	现在去北京用做核酸检测吗
0	救命长在我的审美点上的男人
1	真的是让人感到兴奋的消息。
2	揭穿美国政府的谎言[鄙视]
0	下次一定赶上
1	[赞][赞][赞]
0	所以，该查一下美国德克里克了
2	是不是接触过进口冷冻海鲜[疑问][思考]
1	了不起的小伙子[good][good][good]
1	这真的好可爱啊！萌翻了[鼓掌][鼓掌][鼓掌]，好喜欢吖！
2	……云南太难了，守着边境不容易
0	防护工作要做好，就算打了疫苗也不要掉以轻心
1	抗疫一线，父子同心！
1	可喜可贺，但是依旧不能放松警惕，保持常态化防控。
2	我想知道为什么他们是隔离酒店工作的可以跑出来？？？？
2	东部机场不是要求三天一次核酸检测，怎么南京机场会这么久才发现病例？！
0	在疫情泛滥的国家，没有全民检测，还有多少变异病毒未发现。
0	广州这次防疫真可谓非常严格
1	安全健康的疫苗，有我们可以享受的福利，感谢祖国。
0	没打，打不到，
2	都辟谣了，还在播
2	作为一个在南京的辽宁人，这次南京防疫太垃圾了！上面的人完全是蒙圈的，天天喊口号啥也不干！
0	商丘什么时候解封
0	这个字怎么读
2	在忙着评无疫小区
1	河南零増了，好消息
1	太好了[赞][赞][赞]
0	请问还需要离郑证明吗
1	不愧为广州速度！
0	一个多月了还在三星堆，都不带动一动的
1	快22.8了！加油
0	解释清楚了。不然只是大家乱恐慌。要洗手，不摸口鼻
0	为啥还是买不了进京的车票啊，还是显示限制进京
2	广州真的被搞怕了
2	大连这个是哪里来的……
1	医务人员你们辛苦了!盼扬州早日解封。
1	[good]
1	这个不错，里面可以送凉风吧
1	严防死守，广州加油[加油]
0	能不能不禁止让境外的人进入呢
2	唉忒可怕了，做好防护，戴口罩，别掉以轻心
1	站在祖国的土地，心里才安静，祖国是我们永远的避风港，祝福祖国，永远和平，永远繁荣昌盛！
1	大河南威武！！！！！
2	"请问这一条对于自驾返京的，是同样出示核检就可以返回吗？孩子跟着老人按照这条返京了，但是检查站不放行，是我对政策哪里理解错了吗？我理解防疫当前大局为重，但为何按照政策要求做了，依然不能进京？ <a href="">网页链接</a>"
2	[感冒][感冒][感冒]
1	有魄力[赞]
1	哈哈我的熊猫在九寨沟呢
1	[good]
1	向医生，警察，教师，军人致敬！ 我们爱您们！！
1	防疫只听钟院士[赞]
2	对隔离人员传染风险巨大，人家自费近万元，限制自由在高风险区域，合理吗？
0	不去，国内又上不了大学。赌一把吧
2	我们中山市火炬开发区从南京回来就一例，我们已经被封闭管理6天了[允悲]
2	大哥你吓我一跳，今天都9月18日了，为什么还弹出来9月6号的事？
1	赞！希望我们援商的医务人员早日凯旋归来！
0	核酸检测技术和准确率也需改良
0	做好防疫工作 早日解封！
2	[可憐][可憐][可憐][可憐]现在还好吗
1	解封啦解封啦
2	我希望外地的朋友能够不要骂我们南京普通老百姓，我们什么都没做错，但是我们还得为他们买单
0	防控不要停止
0	永远忘不了为什么现在医生都是面对门口，这个事故就出现在身边。
1	[赞][赞][赞]
0	延长隔离期，希望我们这里好好的
0	扬州就快胜利了。这么多天都等过来了！
2	我的一直在杜甫草堂从未离开[允悲]
2	又开始了？[晕]
0	看和谁比，要是比非洲国家，比如说津巴布韦、卢旺达等，日本确实还是最快的。
2	被新冠虾魔怔了
0	积极做好疫苗接种，共筑免疫屏障！
0	国际飞机还在飞吗，那可是一增加就是一飞机的人了，一燎原就是一方的地界
1	我们大家出门一定要佩戴好口罩，白衣天使们辛苦了
0	在乐山大佛，一直都在[思考]
0	大家都注意防护吧！
0	党的组织体系的动员，是最强力、最高效、最具责任感、也最具荣誉感的动员。
